"","x"
"1","Apogon sp22"
"2","Pyrola sp"
"3","Erichsonella filiformis"
"4","Amphiodia planispina"
"5","Chronocerastes otakauensis"
"6","Eupolymnia sp"
"7","Dictyota acutiloba"
"8","input8_GENUS input8_SPECIES"
"9","Clava leptostyla"
"10","Patellogastropoda "
"11","Ampelisca coeca"
"12","Callopora rylandi"
"13","Saxicola torquatus"
"14","Trachodes hispidus"
"15","Aluterus monoceros"
"16","Histeridae "
"17","Rhus micophylla"
"18","Embassichthys bathybius"
"19","Gaidius brevispinus"
"20","Pleurobranchaea japonica"
"21","Piper reticulatum"
"22","Syrrhoites sp3"
"23","Cantherhines dumerilii"
"24","Lycenchelys verrillii"
"25","Calliurichthys sp2"
"26","Scina oedicarpus"
"27","Molytinae sp4"
"28","Trichillia casaretti"
"29","Maera othonis"
"30","Corbicula fluminea"
"31","Sloanea meianthera"
"32","Ircinia sp33"
"33","Hologymnosus annulatus"
"34","Vavaea amicorum"
"35","Thalictrum alpinum"
"36","Halymenia durvillei"
"37","Hydrolagus trolli"
"38","Euaugaptilus diminutus"
"39","Bembras japonica"
"40","Anthophila fabriciana"
"41","Polychaeta indet"
"42","Dictyota sp"
"43","Warbling Vireo"
"44","Plantago major"
"45","Posoqueria coriacea"
"46","Thalassarche melanoph"
"47","Bregmacerotidae "
"48","Ruvettus pretiosus"
"49","POPUTRE2 "
"50","Amathia alternata"
"51","Bhesa paniculata"
"52","Nepeta cataria"
"53","Sepiidae "
"54","Orbinia riseri"
"55","Neodoris chrysoderma"
"56","Gypsonoma dealbana"
"57","Calybites phasianipennella"
"58","Zonotrichia albicollis"
"59","Thamnaconus striatus"
"60","Sabellaria gracilis"
"61","South polar-skua"
"62","Tanytarsus "
"63","Notomastus sp"
"64","Loxodonta africana"
"65","Tetraedron minimum"
"66","Josephella marenzelleri"
"67","Anisoptera laevis"
"68","Syracosphaera sp1"
"69","Haloptilus longicornis"
"70","Mouriri glazioviana"
"71","Anthenea sp1"
"72","Cladotanytarsus "
"73","Polyalthia sumatrana"
"74","Bacillaria paradoxa"
"75","Agrotera nemoralis"
"76","Calamorhynchus "
"77","Daimio tethys"
"78","Hylobius abietis"
"79","Lucicutia flavicornis"
"80","Dissodactylus encopei"
"81","Metridia okhotensis"
"82","Linophrynidae "
"83","Caulerpa cactoides"
"84","Entodesma pictum"
"85","Chlorophthalmus atlanticus"
"86","Bryotropha senectella"
"87","Edmondia sesamoides"
"88","Timo formosa"
"89","Planorbella sp"
"90","Equus burchelli"
"91","Argyresthia fundella"
"92","Biflustra limosa"
"93","Macrophthalmus microfylacas"
"94","Stichopus sp4"
"95","Trochosphaera solstitialis"
"96","Perophora japonica"
"97","Capitella sp"
"98","Chroococcaceae "
"99","Cupania tenuivalvis"
"100","Oceanapia sp17"
"101","Pilumnus sp282"
"102","Pterostichus brittoni"
"103","Exostesia didomatia"
"104","Echinodictyum asperum"
"105","Cleome serrulata"
"106","Calyptolana hancocki"
"107","Cypraea chinensis"
"108","Stenogramme interrupta"
"109","Neorites kevedianus"
"110","Autolytus "
"111","Syllides sp"
"112","Tetraselmis sp"
"113","Pimelodendron griffithianum"
"114","Aphanocapsa "
"115","Apogonidae "
"116","Stictyosiphon soriferus"
"117","Oradarea longimana"
"118","Calyptrosphaera "
"119","Monas sp"
"120","Numenius madagascariensis"
"121","Croton texensis"
"122","Helianthus pauciflorus"
"123","Henricia kapalae"
"124","Batea sp"
"125","Pereionotus testudo"
"126","Capitellides jonesi"
"127","Echinogorgia sp14"
"128","Aspalathus abietina"
"129","Anaptychia fusca"
"130","Zanthoxylum ovalifolium"
"131","Ypsolopha sylvella"
"132","Assiminea succinea"
"133","Euaugaptilus hecticus"
"134","Cossura pygodactylata"
"135","Haliophasma geminata"
"136","Corycaeus lautus"
"137","Hyperlophus vittatus"
"138","Lepidotrigla guentheri"
"139","Euphorbia exstipulata"
"140","Lithophane baileyi"
"141","Actinostemon concepcionis"
"142","Harbansus bowenae"
"143","Decamastus spA"
"144","Carpacoce spermacocea"
"145","Coscinarea exesa"
"146","Delphineis spec"
"147","Astragalus convallarius"
"148","Abludomelita obtusata"
"149","Pinnotheres shoemakeri"
"150","Pseudomma "
"151","Spiophanes berkeleyorum"
"152","Calidris bairdii"
"153","Decamastus gracilis"
"154","Eupithecia miserulata"
"155","Galathowenia oculata"
"156","Camptocercus rectirostris"
"157","Restio sarocladus"
"158","Dysidea sp16"
"159","PICEGLA "
"160","Periphyllina ransoni"
"161","Morphospecies cactus"
"162","Pterocarpus marsupium"
"163","picophytoplankton "
"164","Monodonta turbinata"
"165","Cocconeis scutellum"
"166","Trigonolampa miriceps"
"167","Amphiblestrum flemingii"
"168","Etmopterus lucifer"
"169","Anadara secticostata"
"170","Anaitides arenae"
"171","Pomacentridae "
"172","Calathus melanocephalus"
"173","Austrolepidopa sp73"
"174","Leucothoe spa"
"175","Vesicomya "
"176","Reticulocythereis "
"177","Hippodiplosia insculpta"
"178","Phippsiella minima"
"179","Inegocia ochiaii"
"180","Leucolepas "
"181","Chromis weberi"
"182","Lethrinus xanthochilus"
"183","Parelasmopus "
"184","Harpacticoid copepod"
"185","Pantolabus radiatus"
"186","Jania corniculata"
"187","Ctenochaetus cyanocheilus"
"188","Pseudophilyra woodmasoni"
"189","Pomacentrus moluccensis"
"190","Gambelia wislizenii"
"191","Saurida longimanus"
"192","Boccardiella ligerica"
"193","Tethygeneia pacifica"
"194","Oithona nishida"
"195","Arabella mutans"
"196","Aspidophoroides olriki"
"197","Enochrus bicolor"
"198","Psoloessa texana"
"199","Diacarnus sp1"
"200","Jenkinsia stolifera"
"201","Chisocheton ceramicus"
"202","Iliacantha intermedia"
"203","Caenocara sp"
"204","Pleurosigma normanii"
"205","Zeiraphera griseana"
"206","Sargocentron bullsi"
"207","Dimocarpus longan"
"208","Pterodroma rostrata"
"209","Anguilla dieffenbachii"
"210","Byblis "
"211","Alcyonium carneum"
"212","Terebella pterochaeta"
"213","Paralichthinae "
"214","Valamugil cunnesius"
"215","Stolephorus sp41"
"216","Chlorurus sordidus"
"217","Rimula "
"218","Ochthebius minimus"
"219","Astronesthes micropogon"
"220","Bathyacmaea secunda"
"221","Inga fagifolia"
"222","Solenopsindborgi"
"223","Loxoglypta compta"
"224","Calycopsis borchgrevinki"
"225","Melanocetidae "
"226","Oculosetella gracilis"
"227","Strombus dilatatus"
"228","Farranula gibbula"
"229","Muraltia rosmarinifolia"
"230","Nerodia sp"
"231","Nephtys cornuta"
"232","Nereis vexillosa"
"233","Cavolina tricuspidata"
"234","Asclepias sullivantii"
"235","Umbellulifera sp5"
"236","Carijoa sp3"
"237","Rhynchozoon paa"
"238","Parasquilla coccinea"
"239","Pavo cristatus"
"240","Eurypanopeus "
"241","CANW "
"242","Schrankia costaestrigalis"
"243","Ceratia proxima"
"244","Lobophyllia hataii"
"245","Schismus barbatus"
"246","Sphinx ligustri"
"247","Montipora angulata"
"248","Phoronis ovalis"
"249","Priapulida "
"250","Stylodactylus licinus"
"251","Black-Browed albatross"
"252","YWAR "
"253","Hypoglossum sp3"
"254","Sporochnus "
"255","Cuspivolva tigris"
"256","Amphicteis sp"
"257","Spionidae genus3"
"258","Halimeda sp3"
"259","Nectandra speciosa"
"260","Phalaropus fulicarius"
"261","Scaphocalanus elongatus"
"262","Stephanopyxis turris"
"263","Nesiarchus nasutus"
"264","Baccaurea pyriformis"
"265","Caryocolum fischerella"
"266","Echeneidae "
"267","Laternula anatina"
"268","Phlebiella vaga"
"269","Modulus disculus"
"270","Allomycterus jaculiferus"
"271","Mactra murchisoni"
"272","Urophycis tenuis"
"273","Strombus sp9"
"274","Callyspongia sp82"
"275","Eurydice convexa"
"276","Strombus aurisdianae"
"277","Poromitra sp"
"278","Aplidium turbinatum"
"279","Hiantopora intermedia"
"280","Abra lioica"
"281","Hemiaulus indicus"
"282","Heteractis "
"283","Physalis "
"284","Sinocorophium heteroceratum"
"285","Caecum imbricatum"
"286","Trechus vicarius"
"287","Scina pusilla"
"288","Mergus merganser"
"289","Pectinaster mimicus"
"290","Terebellides ehlersi"
"291","Ilybius subaeneus"
"292","Acanthohasutorius millsi"
"293","Aurospio spA"
"294","Lissodendoryx "
"295","Paralithodes brevipes"
"296","Careproctus ranula"
"297","Cycloporus venetus"
"298","Myadora "
"299","Branchiostoma lanceolatum"
"300","Platycerus acuticollis"
"301","Anthus hodgsoni"
"302","Diplodus sp"
"303","Anaspis regimbarti"
"304","Turban snails"
"305","Homostolus acer"
"306","Wyeomyia sp1"
"307","Chorizopora sp"
"308","Neoloricata spa"
"309","Undinella sp"
"310","Elaeocarpus elliffii"
"311","Aeschynomene pratensis"
"312","Zyras sp"
"313","Halymenia latifolia"
"314","Ananthura "
"315","Campylaspis umbensis"
"316","Epinotia tedella"
"317","Cypselurus naresii"
"318","Luidia sagamina"
"319","Ophiomyxa tumida"
"320","Sapphirina darwinii"
"321","Maprounea guianensis"
"322","Archamia bleekeri"
"323","Nuculana hamata"
"324","Filellum serpens"
"325","Dendrochirotida "
"326","Troides sp"
"327","Petrochelidon pyrrhonota"
"328","Acanthephyra eximea"
"329","Dissodinium pseudolunula"
"330","Pasiphaea liocerca"
"331","Diacyclops thomasi"
"332","Glycera oxycephala"
"333","Gold encrusting bryozoan"
"334","Ziba sp1"
"335","Porites massive"
"336","Autographa pulchrina"
"337","Triplax aenea"
"338","Nephthyigorgia sp4"
"339","Epinotia immundana"
"340","Eastern phoebe"
"341","Notothenia kempi"
"342","Beroe cucumis"
"343","Parupeneus trifasciatus"
"344","Celleporaria haurakiensis"
"345","Pteraster "
"346","Witica thalis"
"347","Locustella lanceolata"
"348","Botrylloides nigrum"
"349","Leiognathus leuciscus?"
"350","Metalasia cephalotes"
"351","Sicyonia bispinosa"
"352","Hippomonavella flexuosa"
"353","Cydia fagiglandana"
"354","Thalassiothrix longissima"
"355","Aristida purpurascens"
"356","Coronosphaera spec"
"357","Fucus distichus"
"358","Procerodes "
"359","Asteropterygion oculitristis"
"360","Lumbrineris crassicephala"
"361","Hedyotis nigricans"
"362","Halophryne queenslandiae"
"363","Deutella mayeri"
"364","Neoscortechinia kingii"
"365","Thalamita sp32609"
"366","Noctua pronuba"
"367","Ougia subaequalis"
"368","Cordia cylindrostachya"
"369","UNFL "
"370","Gomphus sp"
"371","Caprella gracilior"
"372","Carex sempervirens"
"373","Littoridinops monroensis"
"374","Balanus amphitrite"
"375","Leptonychia moacurroides"
"376","Chlaenius pallipes"
"377","Latirus paetelianus"
"378","Acronicta alni"
"379","Halice "
"380","Porites anae"
"381","Lichen pelcom"
"382","Homoglaea dives"
"383","Dinophysis sp"
"384","Codonellopsis sp"
"385","Paracirrhites hemistictus"
"386","Agathosma bifida"
"387","Girella elevata"
"388","Leptosynapta "
"389","Synechococcus leopoliensis"
"390","Anadenanthera colubrina"
"391","Terebra concava"
"392","Regalecus "
"393","Zuelania guidonia"
"394","Chlidonia pyriformis"
"395","Armandia polyophthalma"
"396","Callyspongia sp4"
"397","Nembrotha milleri"
"398","Apseudes sp2"
"399","Gnathia sp1"
"400","Tucetona sp1"
"401","Desserobdella phalera"
"402","Philoceras trispinosus"
"403","Phragmatopoma "
"404","Fagus sylvatica"
"405","Diplectrona felix"
"406","Limnactiniidae sp1"
"407","Neoceratium minutum"
"408","Cladocora arbuscula"
"409","Scorpaenopsis oxycephala"
"410","Galaxias anomalus"
"411","Liocarcinus "
"412","Caryophyllia smithii"
"413","Nitzschia delicatissima"
"414","Photis kapapa"
"415","Lopholithodes "
"416","Sardinella sp"
"417","Harpalus smaragdinus"
"418","Didinanova duguetia"
"419","Clymenura borealis"
"420","Kobresia sp"
"421","Acharax johnsoni"
"422","Heliophila scoparia"
"423","Sulculeolaria sp"
"424","Stictyosiphon "
"425","Acanthurus bariene"
"426","Boccardiella sp"
"427","Velella velella"
"428","Triacanthodes anomalus"
"429","Hedobia imperialis"
"430","Hesperumia sulphuraria"
"431","Vitis riparia"
"432","Coccoloba sp"
"433","Zeidora bigelowi"
"434","Onchnesoma squamatum"
"435","Parvicardium minimum"
"436","Nassarius reticulatus"
"437","Apogon quadrisquamatus"
"438","Priacantus arenatus"
"439","Gymnodinium arcticum"
"440","Cliffortia glauca"
"441","Cylindrial diatom"
"442","Teleiodes fugitivella"
"443","Actinastrum hantzschii"
"444","Schizomavella aotearoa"
"445","Rhithropanopeus harrisi"
"446","Euchirella curticauda"
"447","Ceramaster cognatus"
"448","Bugula johnstonae"
"449","Unciola sp"
"450","Unid tellinidae"
"451","Eunice unifrons"
"452","Pterothamnion plumula"
"453","Hypolimnas bolina"
"454","Planetes puncticeps"
"455","Ostreobium quekettii"
"456","Camplyonotus rathbonae"
"457","Botrylloides perspicuum"
"458","Caprimulgus vociferus"
"459","Champia compressa"
"460","Magelona sp4"
"461","Roa australis"
"462","Lampanyctus sp"
"463","Labridae"
"464","Grandidierella bonnieroides"
"465","Asthenactis ms"
"466","Ctenodiscus crispatus"
"467","Barnea "
"468","Draba aizoides"
"469","Perna canaliculus"
"470","Tasmanogobius gloveri"
"471","Gymnosporia gentryi"
"472","Piranga flava"
"473","Strombus fragilis"
"474","Rhombognathus notops"
"475","Trichoniscus pusillus"
"476","Regulus calendula"
"477","Discostella stelligera"
"478","Anampses lineatus"
"479","Pseudomonacanthus sp41"
"480","Pachysphaera marshalliae"
"481","Dryocopus martius"
"482","Axinella infundibuliformis"
"483","Dictyosiphon hippuroides"
"484","Crepidacantha zelanica"
"485","Sardinella gibbosa"
"486","Thacanophrys sp245"
"487","Eurema blanda"
"488","Borniopsis sp"
"489","Nothria "
"490","Scarus niger"
"491","Rhepoxynius homocuspidatus"
"492","Hippolyte clarki"
"493","Typosyllis alternata"
"494","Crepis alpestris"
"495","Platysquilloides enodis"
"496","Juncus effusus"
"497","Epinephelus areolatus"
"498","Odostomia dux"
"499","Trematomus nicolai"
"500","Oceanida graduata"
"501","Sphaerosyllis magnidentata"
"502","Memecylon amplexicaule"
"503","Cissus hypoglauca"
"504","Eunice tenuis"
"505","Pseudoschroederia robusta"
"506","Scaphocalyx spathacea"
"507","Haemulon sp"
"508","YUBAL "
"509","Colias hyale"
"510","Lagocephalus inermis"
"511","Centropyge tibicen"
"512","Scleropyrum wallichianum"
"513","Hymenodora acanthitelsonis"
"514","Paraliparis leobergi"
"515","Koanophyllon wetmorei"
"516","Sporolithon "
"517","Terminalia brasiliensis"
"518","Conochilus sp"
"519","Fritillaria typica"
"520","Psilaster florae"
"521","Tharyx setigera"
"522","Autolytus brachycephalus"
"523","Mesopenaeus tropicalis"
"524","Sclerocrangon boreas"
"525","Ceramiaceae "
"526","Eupholoe "
"527","Scaphander sp"
"528","Raja binoculata"
"529","Microphthalmus spec"
"530","Pseudorchestoidea brito"
"531","Aegiphila sellowiana"
"532","Bivalvia"
"533","Pomadasys corvinaeformis"
"534","Ophiolepis elegans"
"535","Taratichthys longipinnis"
"536","Chama sp314"
"537","Maladera oshimana"
"538","Dinobryon sertularia"
"539","Dreissenidae "
"540","Orthoscuticella fissurata"
"541","Scolymia lacera"
"542","Allostichaster polyplax"
"543","SALINOVA "
"544","Halaelurus buergeri"
"545","Pseudoapseudes "
"546","Nitzschia subacicularis"
"547","Exidia glandulosa"
"548","Sebastes variabilis"
"549","Lepidactylus triarticulatus"
"550","Eteone californica"
"551","Barbilophozia lycopodioides"
"552","Tethea or"
"553","Chroococcus turgidus"
"554","Polypedilum convictum"
"555","Amphidinium lanceolatum"
"556","Eranno bicirrata"
"557","Ophelia borealis"
"558","Pyrophacus sp"
"559","Bathylagus euryopsa"
"560","Paguristes sp2358-2"
"561","Molgula sp"
"562","Fauchea sp"
"563","Dinobryon cylindricum"
"564","Allorchestes sp"
"565","Unknown 11"
"566","Sergestes henseni"
"567","Apogon crassiceps"
"568","Unindentified Hawk"
"569","Spectrunculus grandis"
"570","Lestidiops indopacifica"
"571","Coleophora otidipennella"
"572","Galeus boardmani"
"573","Eurynome aspera"
"574","Conchoecia plinthina"
"575","Sphyrapicus varius"
"576","Plesionika acanthonotus"
"577","Storeatula major"
"578","Midoc1 spb"
"579","Spiochaetopterus sp"
"580","Tirumala septentrionis"
"581","Sphaerodoridium "
"582","Broad-tailed Hummingbird"
"583","Fabricia sp"
"584","Rhus microphylla"
"585","Aetea "
"586","Syllides longocirratus"
"587","Cryptocarya smaragdina"
"588","ECDO "
"589","Epheria vincta"
"590","Lycodes seminudus"
"591","Typosyllis hyperioni"
"592","Jordaniella nivosa"
"593","Pholad clam"
"594","Malacoctenus triangulatus"
"595","Photis macinerneyi"
"596","Idoteidae "
"597","Leptognathia paramanca"
"598","Acestrorhynchus lacustris"
"599","Pomacentrus nigromanus"
"600","Microsetella sp"
"601","Helichrysum patulum"
"602","Caelorinchus supernasutus"
"603","Scleroplax granulata"
"604","Plesiocystiscus myrmecoon"
"605","Brania tenuicirrata"
"606","Odontaster sp"
"607","Epinephelus nigritus"
"608","Mustelus griseus"
"609","Tyrannus melancholicus"
"610","Golfingia elongata"
"611","Corynactis californica"
"612","Dermocorynus montagnei"
"613","Odontosyllis sp52"
"614","Conchoecia arcuata"
"615","Polysiphonia olneyi"
"616","Podochela riisei"
"617","Myriactula arabica"
"618","Indigofera candolleana"
"619","Hemiproto "
"620","Guinardia cylindrus"
"621","Synoicum incrustatum"
"622","Lepidopus sp"
"623","Amphiroa "
"624","Laminariaceae "
"625","Capromimus abbreviatus"
"626","Malmgrenia "
"627","Nama hispidum"
"628","Pseudoleptochelia spa"
"629","Cetonurus "
"630","Callista chione"
"631","Shorea dasyphylla"
"632","Sigmodon ochrognathus"
"633","Sterna antillarum"
"634","SCOR "
"635","Stichastrella rosea"
"636","Eupithecia pusillata"
"637","Adeonellopsis kermadecensis"
"638","Dimophyes sp"
"639","Cuspidaria rostrata"
"640","Eurypanopeus dissimilis"
"641","Malmgrenia lunulata"
"642","Grapsidae "
"643","UKFO10 "
"644","Lagenorhynchus "
"645","Diploneis cabro"
"646","Polinices lewisii"
"647","Fundulus seminolis"
"648","Haliotis kamtschatkana"
"649","Stelechocarpus cauliflorus"
"650","Myosurus apetalus"
"651","Bursa granularis"
"652","Hippocampus guttulatus"
"653","Rosenvingea intricata"
"654","Athetini "
"655","Desmoxya sp1"
"656","Cordia superba"
"657","Najas guadalupensis"
"658","Ormosia penangensis"
"659","Acteocina sp1"
"660","BTYW "
"661","Trypophloeus grothii"
"662","Piptochaetium montevidensis"
"663","Nemertea sp8"
"664","Neoischyrocerus claustris"
"665","Stenothoe estacola"
"666","Aplastodiscus albosignatus"
"667","Bembidion obliquum"
"668","Ochrolechia parella"
"669","Myrsine porosa"
"670","Hauchiella sp"
"671","Beilschmiedia bancroftii"
"672","Lobophyllia "
"673","Mallomonas "
"674","Robertsonidra sp"
"675","Lycodes luetkenii"
"676","Patella "
"677","Crassinella "
"678","Ionalyce helicon"
"679","Digitaria sanguinalis"
"680","Chlorophthalmus chalybeius"
"681","Valkeria uva"
"682","Axius "
"683","Paraliparis bathybius"
"684","Sargassaceae "
"685","Terebella "
"686","Mytilidaemollusca "
"687","Scoloplos madagascariensis"
"688","Paguristes "
"689","Porites lutea"
"690","Cecina manchurica"
"691","Sepia whitleyana"
"692","Spatoglossum sp"
"693","Hediste sp"
"694","Paraplagusia longirostris"
"695","Arnoglossus imperialis"
"696","Riccardia latifrans"
"697","Callyspongia sp69"
"698","Scopelogadus sp"
"699","Pagetopsis maculatus"
"700","Polymyces sp"
"701","Irolita sp1"
"702","Galaxias sp1"
"703","Branta bernicla"
"704","Anthus pratensis"
"705","Polyalthia sp"
"706","Navicula spec"
"707","Asheum beckae"
"708","Melo miltonis"
"709","Vepris bilocularis"
"710","Exogone furcifera"
"711","Nephtys cryptomma"
"712","Corisphaera "
"713","Pterodroma neglecta"
"714","Chromis margaritifera"
"715","Ova lacunosus"
"716","Montipora sp"
"717","Caulerpa mexicana"
"718","Haswelliporina sp"
"719","Eusyllis lamelligera"
"720","Zoanthidea sp2"
"721","Halophila ovata"
"722","Celaena leucostigma"
"723","Bathysolea polli"
"724","Maera sp"
"725","Onuphis opalina"
"726","Synidotea laevidorsalis"
"727","Amphicteis scaphobranchiata"
"728","Almyracuma "
"729","Haemulon sciurus"
"730","Spirastrella sp6"
"731","Fossula arctica"
"732","Lacanobia w-latinum"
"733","Asterias rubens"
"734","Argis "
"735","Ophiurae "
"736","Atarphia quadripunctata"
"737","Parornix devoniella"
"738","Neoverruca "
"739","Agrochola purpurea"
"740","Epinephelus fasciatus"
"741","Melitidae "
"742","Necrobia ruficollis"
"743","Chordeumida sp2"
"744","Sphyrnidae "
"745","Nassarius particeps"
"746","Phryxus "
"747","Oleacina glabra"
"748","Nereidiformia "
"749","Mangelia coarctata"
"750","Araeosoma violaceum"
"751","Periploma affine"
"752","Diaphus hudsoni"
"753","Polycarpa gracilis"
"754","Rutiderma judayi"
"755","Halecium halecinum"
"756","Acropora samoensis"
"757","Elloliops "
"758","Stephanolepis setifer"
"759","Diacarnus sp4"
"760","Lithraea molleoides"
"761","Acanthurus guttatus"
"762","Meuschenia hippocrepis"
"763","Bucephala islandica"
"764","Saurida sp2"
"765","Oxypoda elongatula"
"766","Ophiura acervata"
"767","Lucernariopsis campanulata"
"768","Favites "
"769","Scinaia sp"
"770","Tidestromia lanuginosa"
"771","Polystomella striatopunctata"
"772","Stylapterus fruticulosus"
"773","Microcystis stagnalis"
"774","Fabriciidae spA"
"775","Acentronura dendritica"
"776","Diastylis bradyi"
"777","Leitoscoloplos pugettensis"
"778","Paramphithoe "
"779","Epitonium angulatum"
"780","Taraka hamada"
"781","Raspailia sp24"
"782","Leucothoe sp3"
"783","Ancistrosyllis sp11"
"784","Gambusia holbrooki"
"785","Limea sp1"
"786","Spermolepis echinata"
"787","Trypanosyllis "
"788","Pelecanoides urinatrix"
"789","Mesoporos sp"
"790","Cumella sp"
"791","Antalis tibanum"
"792","Bonasa bonasia"
"793","Polystira "
"794","Phakellia ventilabrum"
"795","Crucigenia rectangularis"
"796","Notomastus sp1"
"797","Fragilaria striatula"
"798","Eusarsiella absens"
"799","Aphrogenia sp1"
"800","Magelona polydentata"
"801","Centropomidae "
"802","Hestina nama"
"803","Actinocythereis sp1"
"804","Orthogastropoda "
"805","Cyclostephanos tholiformis"
"806","Distomus variolosus"
"807","Crisiidae "
"808","Aplidium constellatum"
"809","Haploscoloplos panamensis"
"810","Clio sp"
"811","Donax texasianus"
"812","Oscillatoria sp"
"813","Podocerus sp"
"814","Characodoma biavicularium"
"815","Crepidula onyx"
"816","Gammaropsis sophiae"
"817","Polydora nuchalis"
"818","Ocotea spixiana"
"819","Paraeuchaeta polaris"
"820","Pachyptila salvini"
"821","Cryptomya busoensis"
"822","Epirrita christyi"
"823","Ptilothamnion pluma"
"824","Diastylis tricincta"
"825","Zonotrichia querula"
"826","Eulimella laevis"
"827","Ranunculus acris"
"828","Bascanichthys scuticaris"
"829","Gonostoma atlanticum"
"830","Caulleriella sp5"
"831","Acmira cerruti"
"832","Orchomenella sp2"
"833","Elminius modestus"
"834","Myas cuprescens"
"835","Teinostoma "
"836","Pseudosuberites sulphureus"
"837","Patelloida heroldi"
"838","Tomopteris "
"839","Polycirrus sp"
"840","Haloptilus oxicephalus"
"841","MODO "
"842","Potamilla oculifera"
"843","Deflexilodes similis"
"844","Cadulus parvus"
"845","Atys sp2"
"846","Culcita schmideliana"
"847","Villogorgia nigrescens"
"848","Pyronia cecilia"
"849","Thienemannimyia "
"850","Aplidium sp"
"851","Chamaesyce chaetocalyx"
"852","Sepia "
"853","Aporusa globifera"
"854","Fusigobius neophytus"
"855","Fasciolaria hunteria"
"856","Unid limnodriloidinae"
"857","Plicofollis nella"
"858","Nihonotrypaea japonica"
"859","Cymbacephalus nematophthalmus"
"860","Tapeinosperma sp"
"861","Conchoecia curta"
"862","Metacaprella kennerlyi"
"863","Candacia truncata"
"864","Conchoecia macromma"
"865","Hydrachnidiae sp2"
"866","Atylus"
"867","Enipo torelli"
"868","Scleractinia sp"
"869","Phyllotreta undulata"
"870","Cypselurus hexazona"
"871","Obelia longissima"
"872","Echinoderm "
"873","Grandidierella japonica"
"874","Eucalanus bungei"
"875","Mischocarpus pyriformis"
"876","Carditella torresi"
"877","Crucigera zygophora"
"878","Acleris forskaleana"
"879","Trisopterus minutus"
"880","Cladonia fimbriata"
"881","Calliostoma turbinum"
"882","Chaetodon lunula"
"883","Stomiidae "
"884","Caulleriella pacifica"
"885","Ogyrides yaquiensis"
"886","Oriopsis armandi"
"887","Callidium aeneum"
"888","Boerhaavia sp"
"889","Pedicularis verticillata"
"890","Heterosquilla armata"
"891","Photis brevipes"
"892","Hydrozoa "
"893","Lamprothamnium papulosum"
"894","Gastrochaena dubia"
"895","Stylophora mordax"
"896","Clathria sp8"
"897","Rhabdosoma "
"898","Limopsis sulcata"
"899","Pagurus setosus"
"900","Nematocysts "
"901","Prionospio dubia"
"902","Turritellidae "
"903","Heteroscarus acroptilus"
"904","Unidentified prion"
"905","Sigambra wassi"
"906","Goniadella sp2"
"907","Unknown1 sp1"
"908","Vitreobalcis shoplandi"
"909","Tessaradoma gracile"
"910","Toxostoma curvirostre"
"911","Blenniidae sp6"
"912","Chaperiopsis biporosa"
"913","GHJU "
"914","Diodon holocanthus"
"915","Agonandra brasiliensis"
"916","Phylloscopus trochiloides"
"917","Lycodes raridens"
"918","Rogadius welanderi"
"919","Unidentified peraclis"
"920","Acrosymphyton taylorii"
"921","Brisingidae "
"922","Thuiaria cupressiodes"
"923","Halosphaera "
"924","Linophryne "
"925","Fraxinus nigra"
"926","Ulva linza"
"927","Thalassiosira kushirensis"
"928","Sula sula"
"929","LIRITUL "
"930","Oblada melanura"
"931","Stichogloea olivacea"
"932","Icasterias "
"933","Streblonema "
"934","Hippomonavella gymnae"
"935","Phalacroma rotundatum"
"936","Optivus agastos"
"937","Aricidea nolani"
"938","Gelechia sororculella"
"939","Mucronella immersa"
"940","Orectolobus japonicus"
"941","Gymnodinium simplex"
"942","Polyipnus "
"943","Bathyporeia "
"944","Tectidrilus squalidus"
"945","Sillago burrus"
"946","Decapterus "
"947","Anthopleura "
"948","Bathophilus longipinnis"
"949","Mancocuma "
"950","Caulleriella sp219"
"951","Ptilidae sp"
"952","Acraea issoria"
"953","Yoldia sapotilla"
"954","Volvulella acutus"
"955","Unknown lichen"
"956","Glechon squarrosa"
"957","Pagrus coeruleostictus"
"958","Diploneis littoralis"
"959","Cephalopholis urodeta"
"960","ROAL "
"961","Acanthosquilla biminiensis"
"962","Gonothyraea loveni"
"963","Chionodes distinctella"
"964","Augaptilus glacialis"
"965","Margarites undulata"
"966","Luscinia calliope"
"967","Callyspongia sp88"
"968","Nephtys hombergii"
"969","Pentamera sp18"
"970","Eucosma conterminana"
"971","Triceratium dubium"
"972","Hyblaeidae sp"
"973","Merluccius "
"974","Callyspongia sp93"
"975","Monochroa lutulentella"
"976","Phyllodoce macropapillosa"
"977","Owl unidentified"
"978","Aglaia barberi"
"979","Littorina saxatilis"
"980","Potentilla erecta"
"981","Myroxylon peruiferum"
"982","Cryptolutea arafurensis"
"983","Acanthophora sp"
"984","Carpelimus corticinus"
"985","Ficedula albicilla"
"986","Bartramia longicauda"
"987","Coenonympha pamphilus"
"988","Lepomis macrochirus"
"989","Hippolais icterina"
"990","Anser caerulescens"
"991","Oncousoecia canadensis"
"992","Coelostegia griffithii"
"993","Diastopora repens"
"994","Parougia sp1"
"995","Pylopagurus holmesi"
"996","Bougainvillia britannica"
"997","Paraeuchaeta orientalis"
"998","Horsfieldia wallichii"
"999","Lampadena anomala"
"1000","Neopleustes pulchellus"
